"podcast";"number";"date";"year";"month";"weekday";"duration";"title";"host";"guest";"category";"topic";"summary"
"TV Talk Machine";"72";2016-02-27;"2016";"February";"Saturday";57.5166666666667;"The Columbo Edition";"Tim Goodman, Jason Snell";NA;"Not provided";"It’s hard to remember";"We’re back with discussion of some new series, a look forward to March premieres (though there’s not a lot to look forward to), and a whole bunch of your letters. Plus, one more thing Tim finally remembered"
"TeeVee";"145";2016-02-26;"2016";"February";"Friday";44.1666666666667;"The Flash S2E15 review: “King Shark”";"Lisa Schmeiser, Philip Mozolak";"Tony Sindelar, David J. Loehr";"Shows";"The Flash Season 2, Episode 15";"Who’s the big fish with the shredded pants that make the fans crazy? King Shark! And in another slightly interesting development, Zoom takes off his mask—which presents more questions than answers. Special Guest David J. Loehr joins the breakdown of this fantastic episode"
"Random Trek";"88";2016-02-26;"2016";"February";"Friday";41.0666666666667;"“The Andorian Incident” with Carrie Miller";"Scott McNulty";"Carrie Miller";"Not provided";"“The Andorian Incident”";"Carrie Miller, chemistry professor and knitter, joins Scott to discuss ENT’s The Andorian Incident  (S1E7). Topics include shifty Vulcans, how cool the Andorians look, Archer’s lack of patience, how cute Porthos is, and Star Trek cat trees.

Next on Random Trek VOY’s Author, Author (S7E20"
"Total Party Kill";"73";2016-02-25;"2016";"February";"Thursday";53.0166666666667;"Two Muls, a Defiler, and a Beetle Place";"Scott McNulty";"Georgia Dow, Erika Ensign, Tony Sindelar, Dan Moren, Jason Snell, Steve Lutz";"Not provided";"Eglath’s Angels, Part 27";"Eglath’s Angels conclude their encounter at the city gates and then journey deep into the city to explore a threatening ziggurat"
"Lazy Doctor Who";"38";2016-02-25;"2016";"February";"Thursday";18.1333333333333;"The Space Museum 1";"Erika Ensign, Steven Schapansky";NA;"Not provided";"Q (1)";"Erika and Steven dive into the next Doctor Who serial from 1965. Erika declares it NONSENSE! Steven drops some technical knowledge. It’s a real party. Or a real podcast from a couch. You decide"
"Lazy Doctor Who";"37";2016-02-25;"2016";"February";"Thursday";28.6666666666667;"The Crusade 2-4";"Erika Ensign, Steven Schapansky";NA;"Not provided";"P (2-4)";"Steven and Erika finish off “The Crusade” from 1965. Erika has a strong reaction to this story! And sings the praises of her new accountant"
"Pod4Ham";"4";2016-02-24;"2016";"February";"Wednesday";12.2;"Raise a Glass to Freedom";"Serenity Caldwell, David J. Loehr";"Michael B. Johnson, Rachel Donner";"Not provided";"“The Story of Tonight”";"A drinking song sung by comrades in a revolution, with a tip of the hat to “Les Misérables"
"Afoot!";"5";2016-02-23;"2016";"February";"Tuesday";40.0166666666667;"Heaping Helping of Holmes, Part 2";"Glenn Fleishman";"David J. Loehr, Monty Ashley, Shannon Sudderth";"Not provided";"Sherlock adaptations";"Sherlock Holmes is the most portrayed, parodied, adapted, and extended detective in the history of the genre. In this episode (part 2 of 2), Afoot panelists discuss more of their favorite Holmes' depictions and extensions. This time: Failed TV pilots that use Holmes or Holmes-like characters, the movie Young Sherlock Holmes, House, M.D., Robert Downey, Jr's portrayal in movies, the movie of The Seven-Percent Solution, and the Mary Russell series by Laurie R. King"
"Bonus Track";"a5";2016-02-23;"2016";"February";"Tuesday";6.75;"Batman Is NOT the World’s Great Detective!";"Glenn Fleishman";"David J. Loehr, Monty Ashley, Shannon Sudderth";"Not provided";"not the greatest";"Monty Ashley wages a garbled battle against Batman being the world’s greatest detective, Glenn recounts an instance of his ratiocination (Holmsing), an Abominable Bride impossible situation (no spoilers), and Holmes-like detectives, who are legion"
"Robot or Not";"46";2016-02-22;"2016";"February";"Monday";2.06666666666667;"Crow T. Robot and Tom Servo";"John Siracusa, Jason Snell";NA;"Not provided";"MST3K bots";"The bots from “Mystery Science Theater 3000"
"Defocused";"85";2016-02-22;"2016";"February";"Monday";91.75;"In Patty Cake Delicto";"Joe Rosensteel, Dan Sturm";NA;"Movies";"Roger Rabbit";"Nice to meet you, here’s some ink for your shirt"
"Sophomore Lit";"20";2016-02-22;"2016";"February";"Monday";69.1833333333333;"Animal Farm";"John McCoy";"Elliott Kalan";"Books";"Not provided";"Elliott Kalan joins in for a quiet weekend in the country with George Orwell’s Animal Farm. Four legs: good! Four eyes: nerd"
"TV Talk Machine";"71";2016-02-21;"2016";"February";"Sunday";61.45;"Keep Oiling the Machine";"Tim Goodman, Jason Snell";NA;"Not provided";"ABC changes, “Togetherness” and your letters";"Huge industry and failure-analysis news this week, as ABC’s Paul Lee era ends and Channing Dungey takes on the now-horrible job of being a broadcast network TV president. Plus Tim reviews “Togetherness,” we talk about “Girls” returning, Jason reports in on “The X-Files” and “Legends of Tomorrow,” and we answer your letters"
"TeeVee";"144";2016-02-19;"2016";"February";"Friday";49.1833333333333;"Arrow S4E14 Review: “Code of Silence”";"Dan Moren";"Guy English, John Moltz";"Shows";"Arrow Season 4, Episode 14";"It’s a sad day for the Speedy Arrowcast team, as they mourn the dear, departed—well, we’ll get there. Thea and Lance reinforce bad Ollie behavior, we speculate about the nature of “precision demolition,” and Team Arrow sure picks the wrong week to forget to pack the bomb spray.



To subscribe to all our Arrow-related content, check out this feed: http://feeds.theincomparable.com/arrow"
"TeeVee";"143";2016-02-19;"2016";"February";"Friday";42.5;"The Flash S2E14 review: “Escape from Earth-2”";"Lisa Schmeiser";"Tony Sindelar, Philip Mozolak";"Shows";"The Flash Season 2, Episode 14";"Lisa returns from Earth-2 to join Moze and Tony! Now the team races to find Zoom’s lair and asks for help from the most unexpected source. Meanwhile, back on Earth-1, Caitlin rushes to perfect Velocity 9 so that Jay can stop the Geomancer.  Predictions and research continue as Tony and Moze delight in the conspiracy"
"Random Trek";"87";2016-02-19;"2016";"February";"Friday";41.1166666666667;"“The Emissary” (TNG) with Maia Weinstock";"Scott McNulty";"Maia Weinstock";"Not provided";"“The Emissary”";"Maia Weinstock, editor, writer, and LEGO enthusiast, joins Scott to discuss TNG’s The Emissary (S2E20). Topics include admirals’ uniforms, Klingon mating rituals, Khelyr’s wardrobe, and ridiculous birdmen.

Next on Random Trek ENT’s The Andorian Incident (S1E7"
"TeeVee";"142";2016-02-18;"2016";"February";"Thursday";57.3833333333333;"Legends of Tomorrow: Failure Analysis";"Jason Snell";"Lisa Schmeiser";"Not provided";"Legends of Tomorrow season 1, episodes 3-4";"So we’re breaking up with “DC’s Legends of Tomorrow.” At least for now. In this final scheduled episode we discuss the problems with the show and why we’ll keep watching it, but probably while we’re also checking our e-mail and folding our laundry. We’re not mad, we’re just disappointed. It’s not us, “Legends of Tomorrow.” It’s you"
"Lazy Doctor Who";"36";2016-02-18;"2016";"February";"Thursday";10.4;"The Crusade 1";"Erika Ensign, Steven Schapansky";NA;"Not provided";"P (1)";"Erika and Steven continue on to the first episode of “The Crusade” from 1965. (Mostly because Steven wants to watch something that’s directed better than “The Web Planet"
"Lazy Doctor Who";"35";2016-02-18;"2016";"February";"Thursday";19.8666666666667;"The Web Planet 5-6";"Erika Ensign, Steven Schapansky";NA;"Not provided";"N (5-6)";"Steven and Erika finish off the fifth serial of Doctor Who’s second season, “The Web Planet” from 1965. And Erika begs for a return to Vortis in series 10. No, really"
"Pod4Ham";"3";2016-02-18;"2016";"February";"Thursday";30.6333333333333;"Young, Scrappy, and Hungry";"Jason Snell";"Serenity Caldwell";"Not provided";"“My Shot”";"In contrast to Aaron Burr’s talk-less-smile-more approach, Alexander Hamilton gets overexcited and shoots off at the mouth"
"Defocused";"84";2016-02-16;"2016";"February";"Tuesday";95.95;"The Middle of Norwhere";"Joe Rosensteel, Dan Sturm";NA;"Movies";"Ex Machina";"Red flags everywhere"
"Ruin the Movies";"16";2016-02-16;"2016";"February";"Tuesday";42.0833333333333;"Snake Lady";"Lisa Schmeiser, Philip Michaels";NA;"Not provided";"The Jungle Book, Gods of Egypt";"Phil and Lisa ruin The Jungle Book and Gods of Egypt and hope against hope that Zoolander 2 and Hail Caesar will warm their curdled hearts"
"Cartoon Cast";"7";2016-02-16;"2016";"February";"Tuesday";73.15;"The Second Rate Zach Braff";"Christina Warren, Mikah Sargent";NA;"Not provided";"Magnets, how do they work?";"It started out as a conversation between Christina and Mikah about Netflix’s selection of original cartoons, but it quickly devolved into a reminiscing-fest as they both recalled the bad [and good] things they did as kids"
"Robot or Not";"45";2016-02-15;"2016";"February";"Monday";6.76666666666667;"Nanobots";"John Siracusa, Jason Snell";NA;"Not provided";"Very tiny machines";"Enter the realm of the very, very tiny as John and Jason ponder if size matters when it comes to whether something is a robot or not"
"Game Show";"30";2016-02-15;"2016";"February";"Monday";40.1833333333333;"Game Night: TARFIS";"Jason Snell";"Chip Sudderth, Joe Rosensteel, Erika Ensign, Liz Myles, Deborah Stanish, Shannon Sudderth";"Not provided";"Game of Matching: “Doctor Who” edition";"Live from the Gallifrey One convention in Los Angeles, a special “Doctor Who”-themed edition of The Game of Matching! Awkward answers to silly questions! Telepathy gone awry! And more fun than you can shake a [blank] at"
"Unjustly Maligned";"47";2016-02-15;"2016";"February";"Monday";66.8666666666667;"“True Detective Season 2” with Erik Aho";"Antony Johnston";"Erik Aho";"Shows";"“True Detective Season 2”";"Everybody loved “True Detective” Season 1… but not so much Season 2. Musician and LA native Erik Aho joins Antony to stand up for the show, and elaborate on its appeal to noir lovers everywhere"
"TeeVee";"141";2016-02-14;"2016";"February";"Sunday";57.45;"The Flash S2E12-E13 review: “Fast Lane” and “Welcome to Earth 2”";"Tony Sindelar, Philip Mozolak";NA;"Shows";"The Flash Season 2, Episode 12-13";"Here comes another double dose of double episodes like a Doppelgänger do. 
Tony and Moze explore the Tarpit of Central City briefly, then make a jump on the speed cannon to welcome Earth 2 with open arms with an armful of easter eggs"
"The Incomparable";"287";2016-02-13;"2016";"February";"Saturday";81.2166666666667;"Hole Farmers";"Jason Snell";"Scott McNulty, David J. Loehr, Glenn Fleishman, Chip Sudderth, Andy Ihnatko, Monty Ashley";"Movies";"Star Trek TMP and V";"What does God need with a starship? We take a look at the two most (justly) maligned films starring the original “Star Trek” cast, “Star Trek: The Motion Picture” and “Star Trek V: The Final Frontier.” What do these two films have in common? Do they have any redeeming qualities? We watched them so you didn’t have to, because we need our pain"
"TeeVee";"140";2016-02-12;"2016";"February";"Friday";55.9166666666667;"Arrow S4E13 Review: “Sins of the Father”";"Dan Moren";"John Moltz, Guy English";"Shows";"Arrow Season 4, Episode 13";"In our latest episode, sponsored by the League of Assassins, there’s a power struggle brewing between Nyssa and Merlyn and our heroes are caught in the (literal) crossfire. We discuss Charlotte Ross’s killer scene, the League of Assassins’s coveted employee of the month award, and what else is on Damien Darhk’s to-do list. 



To subscribe to all our Arrow-related content, check out this feed: http://feeds.theincomparable.com/arrow"
"TV Talk Machine";"70";2016-02-12;"2016";"February";"Friday";48.0833333333333;"Nobody Expects the Spanish Inquistion";"Tim Goodman, Jason Snell";NA;"Not provided";"Better Call Saul, Triumph’s Election Special";"Better Call Saul” is back for season two, and Tim’s got his full review—along with our discussion of the challenges of doing a prequel series. Plus, the 14-year-old boy inside of Tim is thrilled with Hulu’s new election special starring Triumph, the insult comic dog. We cover a mixed bag of TV news, including the new “Star Trek” showrunner and the renewal of “Master of None,” and answer your letters"
"Random Trek";"86";2016-02-12;"2016";"February";"Friday";87.45;"“Time’s Arrow Part 1 and 2” (TNG) with David Gian-Cursio";"Scott McNulty";"David Gian-Cursio";"Not provided";"“Time’s Arrow”";"David Gian-Cursio, 3D artist, joins Scott to discuss TNG’s Time’s Arrow Parts 1 and 2  (S5E26, S6E1). Topics include the 2016 Star Trek Ships of the Line calendar (in which David is the artist of February’s ship!), the fan art community, our favorite Star Trek movies, favorite characters, and also Time’s Arrow.

Next on Random Trek TNG’s The Emissary (S2E20"
"Total Party Kill";"72";2016-02-11;"2016";"February";"Thursday";58.1833333333333;"Magical Selfie Stick";"Scott McNulty";"Jason Snell, Steve Lutz, Erika Ensign, Georgia Dow, Tony Sindelar, Dan Moren";"Not provided";"Eglath’s Angels, Part 26";"Our adventurers approach the gates and statues that mark the entry point to the long-dead city of Kaldinay. But a funny thing happened on the way to the Ziggurat"
"Pod4Ham";"2";2016-02-11;"2016";"February";"Thursday";23.8833333333333;"Talk Less, Smile More";"Brian Hamilton";"Rachel Donner";"Not provided";"“Aaron Burr, Sir”";"Alexander Hamilton arrives in New York and meets Aaron Burr, Lafayette, Hercules Mulligan, and John Laurens"
"TeeVee";"139";2016-02-09;"2016";"February";"Tuesday";58.7166666666667;"The Expanse S1E9-10 Review: “Critical Mass” and “Leviathan Wakes”";"Jason Snell";"Aleen Simms";"Not provided";"The Expanse Season 1, Episodes 9 -10";"The first season of “The Expanse” wraps up with an exciting conclusion! Except for some of the parts that were less exciting. We render our final verdict and look ahead to season two"
"Defocused";"83";2016-02-09;"2016";"February";"Tuesday";53.4666666666667;"Chem-trails and Baja Fresh";"Joe Rosensteel, Dan Sturm";NA;"Not provided";"Not provided";"We didn’t watch a movie"
"Robot or Not";"44";2016-02-08;"2016";"February";"Monday";2.56666666666667;"The Internet of Things";"John Siracusa, Jason Snell";NA;"Not provided";"Bruce Schneier’s metaphor";"Security expert Bruce Schneier said the Internet of Things was a robot, but what does John think? 

You can probably guess"
"Lazy Doctor Who";"34";2016-02-08;"2016";"February";"Monday";18.0833333333333;"The Web Planet 2-4";"Erika Ensign, Steven Schapansky";NA;"Not provided";"N (2-4)";"Erika and Steven close out their Superbowl Sunday Doctor Who marathon by continuing (but not quite finishing) “The Web Planet”. If only humans didn’t need sleep, there’d be more coming, but alas, sleep isn’t just for tortoises"
"Lazy Doctor Who";"33";2016-02-08;"2016";"February";"Monday";12.2833333333333;"The Web Planet 1";"Erika Ensign, Steven Schapansky";NA;"Not provided";"N (1)";"Steven and Erika haven’t had enough Doctor Who yet on this Superbowl Sunday. They move on from a historical to something altogether more out-there. You may find the reaction to it surprising"
"Lazy Doctor Who";"32";2016-02-08;"2016";"February";"Monday";17.0166666666667;"The Romans 4";"Erika Ensign, Steven Schapansky";NA;"Not provided";"M (4)";"Erika and Steven finish off 1965’s “The Romans”. Happily, Erika finds that the last ep is much less objectionable, which is good because she loves loving Doctor Who"
