"podcast","number","date","year","month","weekday","duration","host","title","summary","category","topic","guests"
"1","The Incomparable","99",2012-07-16,"2012","July","Monday",82.7666666666667,"Jason Snell","Convenience Store Clerk of Dune (A Summer Reading List)","Summer’s here and it’s time to get to the beach with a good sci-fi novel. Our panelists are well read and of exquisite taste, so we’ve got a boatload of suggestions for you. From funny to serious, there’s a book in our list that will hit the spot the next time you’re looking for something to read.","Books","Summer Reading List","Dan Moren, Glenn Fleishman, Lex Friedman, Scott McNulty, Serenity Caldwell"
"2","The Incomparable","98",2012-07-07,"2012","July","Saturday",89.6833333333333,"Lex Friedman","Obscure References and Sadness","We tackle the works of Jonathan Coulton as our Geek Music Appreciation series continues. Join guest host Lex Friedman as he and our panelists build a JoCo playlist and discuss why Coulton has so much geek appeal. But just because Lex is guest-hosting doesn't mean that Jason Snell won't make a dramatic appearance at the end, so keep listening!","Music","Jonathan Coulton.","Greg Knauss, John Siracusa, Scott McNulty, Jonathan Coulton, Jason Snell"
"3","The Incomparable","97",2012-07-01,"2012","July","Sunday",59.1,"Glenn Fleishman","Everybody Loves Hypnotoad","Good news, everyone! We’re here to talk about the animated TV comedy “Futurama.” Join guest host Glenn Fleishman, special guest Andy Ihnatko, and virgin guests Jonathan Seff and Dean Putney as we discuss Bender, Fry, Dr. Zoidberg, and even Morbo.","Shows","“Futurama”","Andy Ihnatko, Jon Seff, Dean Putney"
"4","The Incomparable","96",2012-06-24,"2012","June","Sunday",80.7,"Jason Snell","Space Fedora","The 2012 Hugo Award Nominees. Of all the sci-fi novels published in the last year, these are five of them! (And four aren’t actually sci-fi.) But that hasn’t stopped us from reading them and giving you our opinions. Join our book club as we talk about five books and pick our favorites. Plus: Vomit Zombies! A unique novel-sponsorship opportunity for Coca-Cola! Our near-unconditional love of author Jo Walton! And what the locusts are reading this year!","Books","2012 Hugo Award nominees","Glenn Fleishman, Monty Ashley, Scott McNulty"
"5","The Incomparable","95",2012-06-16,"2012","June","Saturday",91.3666666666667,"Jason Snell","Don’t Take the Cinnamon Challenge","Unfurl your banners, steal some dragons, slap your insolent nephew, and get ready to listen to us discuss the second season of HBO’s “Game of Thrones” in this special live session. Plus, John explains the Internet to Jason.","Shows","Not provided","Dan Moren, John Siracusa, Monty Ashley, Serenity Caldwell"
"6","The Incomparable","94",2012-06-10,"2012","June","Sunday",70.2666666666667,"Jason Snell","If You Think It’s Funny, That’s Fine, You’re Wrong","We travel to where geekiness and comedy come together, to discuss our favorite geek TV comedies. From traditional sitcoms to animation to movie commentary, we’ve got you covered. Plus there’s a lot of singing.","Not provided","Not provided","Andy Ihnatko, Dan Moren, Scott McNulty, Serenity Caldwell"
"7","The Incomparable","93",2012-06-03,"2012","June","Sunday",73.6666666666667,"Jason Snell","Monstor","Our book club takes a dive into the world of Paolo Bacigalupi, covering his award-winning novel “Ship Breaker” as well as its recently-released follow-up, “The Drowned Cities.” These books are apparently considered YA (or Young Adult) fiction, leading us to discuss what that label means, if anything. We also talk about Bacigalupi’s particular brand of eco-apocalypse, his use of science fiction to make us reconsider what’s going on today in the world, and how to pronounce his name. And of course, we coin a new word: it’s half monster, half mentor, all Scott McNulty.","Books","“Ship Breaker” and “The Drowned Cities”","Scott McNulty, Serenity Caldwell"
"8","The Incomparable","92",2012-05-27,"2012","May","Sunday",94.2,"Jason Snell","Nick Fury’s Google Hangout","Avengers assemble! We discuss Joss Whedon’s Marvel movie, which has been a hit with audiences and critics. But some members of our panel don’t agree. How much do expectations factor in to one’s enjoyment of a movie? Has the bar for summer action blockbusters been set too low by the likes of “Transformers 2”? Should every action-adventure movie aspire to be something more? Why is this the first time that the Hulk has been portrayed properly in a film? Grab your cosmic cubes and prepare for 90 minutes of movie-smashing discussion.","Movies","“The Avengers”","Andy Ihnatko, Dan Moren, John Siracusa, Ben Boychuk"
"9","The Incomparable","91",2012-05-20,"2012","May","Sunday",70.2,"Jason Snell","The Hungry Tributes of Catan","From despotic rulers to lethal hummingbirds, it’s time for us to address the cultural phenomenon of “The Hunger Games.” Join us as we discuss the movie and original book, as well as (following carefully placed Spoiler Horns) the other two books in the trilogy. Why do all households in Panem get the Bravo network? Should “1984” be a Little Golden Book? And why does Lisa know which district of Panem is in charge of making lumber? This episode has the odds ever in its favor.","Books","“The Hunger Games” book series.","Lisa Schmeiser, Serenity Caldwell"
"10","The Incomparable","90",2012-05-13,"2012","May","Sunday",60.85,"Jason Snell","A Suspiciously Efficient Morgue","Take off all your clothes and set the lock code on your mobile phone! It’s time for us to discuss the second season of the BBC’s “Sherlock,” starring Benedict Cumberbatch and Martin Freeman. We walk through all three movie-length episodes, starting with the exemplary “Scandal in Belgravia,” moving on to the not-so-exemplary “Hounds of Baskerville,” and concluding with the mind-blowing “Reichenbach Fall.”","Not provided","Not provided","Dan Moren, Greg Knauss, John Siracusa"
"11","The Incomparable","9",2010-10-24,"2010","October","Sunday",58.6333333333333,"Jason Snell","Get the Bone Saw!","Booooo! We get ready for Halloween with a discussion of horror and scary movies featuring two horror aficionados and also Jason, who doesn’t have a stomach for it. Plus, we highlight a neglected horror classic.","Movies","Horror movies","Ben Boychuk, Steve Lutz"
"12","The Incomparable","89",2012-05-07,"2012","May","Monday",90.9166666666667,"Jason Snell","Also Known as Endor","We wrap up our six-part series on the classic “Star Wars” movies with the climactic final half of “Return of the Jedi.” We discuss how the Empire is ahead of the rebels every step of the way, question Luke’s choice of forest camouflage, and explain why Ewoks are better unsubtitled. Also, how is Luke’s journey to being a Jedi not like what you see in most action movies? Who is more heroic in the end, Luke or Vader? Why does the Emperor wait so long to show us his lightning fingers? Why are rebel ships equipped with fireworks? And is Endor the name of the moon, or the name of the planet the moon is orbiting, or both?","Movies","“Return of the Jedi” (part 2)","Dan Moren, John Siracusa, Serenity Caldwell"
"13","The Incomparable","88",2012-04-30,"2012","April","Monday",73.95,"Jason Snell","Skywalker’s Eleven","We tackle the last of the classic “Star Wars” trilogy, “Return of the Jedi.” Why does Jabba the Hutt enjoy avant-garde wall hangings and ’80s dance moves? Isn’t it sad how Boba Fett goes out with a whimper? Are the alien languages in “Star Wars” too fake-sounding? And what’s up with Leia’s metal bikini? (Part 1 of 2.)","Not provided","“Return of the Jedi” (part 1)","Dan Moren, John Siracusa, Serenity Caldwell"
"14","The Incomparable","87",2012-04-23,"2012","April","Monday",48.1333333333333,"Glenn Fleishman","Where Do the Dragons Go to the Bathroom?","Here be dragons! Special guest hosts Glenn Fleishman and Lisa Schmeiser discuss books featuring winged and scaly creatures, from Anne McCaffrey to George R.R. Martin. Glenn and Lisa are joined by special guest stars Dori Smith and Sarah Barbour, who are also knowledgeable in the ways of the dragon.","Books","Dragons!","Lisa Schmeiser, Sarah Barbour"
"15","The Incomparable","86",2012-04-14,"2012","April","Saturday",73.6166666666667,"Jason Snell","Like “Catcher in the Rye,” Except Crappier","Get out your magic wands, prepare your incantations, and prepare for a battle of wills involving ancient powers and callow youths. We discuss two recent novels with magic at the fore: Lev Grossman’s “The Magicians” and Erin Morgenstern’s “The Night Circus.” One of them we liked a lot… the other, not so much! Prepare yourself for a magical podcast.","Not provided","Not provided","Dan Moren, Glenn Fleishman, Scott McNulty, Serenity Caldwell"
"16","The Incomparable","85",2012-04-01,"2012","April","Sunday",82.2666666666667,"Jason Snell","Game Show","It’s the Incomparable Game Show! In a clash of young(ish) versus old(ish), two teams vie for the honor of being the team who wins. Sci-fi questions, confused androids, and a visit from a parallel-universe version of The Incomparable are all part of the story. You’ll laugh, you’ll cry, and you won’t learn a darned thing. Join us, won’t you?","Not provided","Not provided","Dan Moren, Glenn Fleishman, Greg Knauss, John Siracusa, Scott McNulty"
